#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,18123.58984375,4126.611485030036,22250.201328780036,165.52185481104672
20,18523.6171875,3836.426718429895,22360.043905929895,153.88229994143765
30,18376.95703125,3914.6628458243795,22291.61987707438,157.02041676356785
40,18412.205078125,3902.3148279540474,22314.519906079047,156.52512738908908
50,18267.345703125,3980.6107763733016,22247.9564794983,159.66564368279845
60,18167.248046875,4068.3653567782603,22235.61340365326,163.1855536548147
70,18103.482421875,4084.34078428708,22187.82320616208,163.82634147849322
80,18134.544921875,4065.8763859586325,22200.421307833632,163.08571894342256
90,18191.4375,4030.706430213526,22222.143930213526,161.6750224604436
100,18234.21484375,3999.948725557886,22234.163569307886,160.44130507687098
110,18492.634765625,3831.8969451652374,22324.531710790237,153.7006069288147
120,18289.013671875,3967.812665898353,22256.826337773353,159.1523007156752
130,18480.431640625,3835.6110029451083,22316.04264357011,153.84958090778744
140,18280.890625,3975.8092121495865,22256.699837149587,159.47304890638523
150,18287.33984375,3972.1350352261215,22259.47487897612,159.32567458208013
160,18239.359375,4015.7988618426025,22255.158236842602,161.0770673642517
170,18142.93359375,4085.609977756627,22228.543571506627,163.87724989523068
180,18283.48828125,4000.072414530907,22283.560695780907,160.44626634553134
190,18292.3125,3987.6020967923105,22279.91459679231,159.9460714205515
200,18404.53125,3934.4378299159,22338.9690799159,157.81360799505677
210,18493.15625,3842.914330846397,22336.070580846397,154.1425235278766
220,18365.73828125,3939.888460436836,22305.626741686836,158.03223736614925
230,18172.71875,4085.5354947940214,22258.25424479402,163.87426232100253
240,18209.453125,4053.3708843206987,22262.8240093207,162.58411276267054
250,18252.32421875,4031.6617811070755,22283.985999857076,161.7133423876937
260,18069.96875,4165.614039524458,22235.58278952446,167.08628005090878
270,18256.533203125,4015.60448050173,22272.13768362673,161.06927056530452
280,18242.80078125,4038.8486100491136,22281.649391299114,162.00161213661755
290,18318.39453125,3974.745913830586,22293.140445080586,159.43039911717756
300,18272.333984375,4022.7321191495284,22295.06610352453,161.35516614178087
310,18220.412109375,4046.461127249524,22266.873236624524,162.30695659934776
320,18075.943359375,4161.379835033789,22237.32319440879,166.9164425502167
330,17943.748046875,4240.950762459077,22184.698809334077,170.10809932339433
340,18093.3671875,4134.062319053337,22227.429506553337,165.82071402565896
350,18185.37109375,4068.8117035692558,22254.182797319256,163.2034569997267
360,18281.91015625,3998.902759528486,22280.812915778486,160.39935050036587
370,18345.91796875,3975.0579928252846,22320.975961575285,159.44291686793684
380,18202.4140625,4085.948807189008,22288.36286968901,163.8908406285274
390,18191.283203125,4071.491285410244,22262.774488535244,163.31093727938168
400,18026.869140625,4191.033061122987,22217.902201747987,168.10585837024743
410,18109.171875,4127.583808454685,22236.755683454685,165.5608555207835
420,18189.248046875,4088.693504132796,22277.941551007796,164.00093272968064
430,18126.716796875,4128.963337211404,22255.680134086404,165.616189578619
440,18165.5703125,4088.9142909186776,22254.484603418678,164.00978867321916
450,18235.3046875,4060.79810901545,22296.10279651545,162.88202498727256
460,18151.6484375,4134.300593673717,22285.949031173717,165.8302714209366
470,17998.04296875,4238.710859859362,22236.753828609362,170.01825494762846
480,17957.19140625,4270.014124642126,22227.205530892126,171.27385520640752
490,17951.103515625,4280.280178081943,22231.383693706943,171.68563523782362
500,18072.48046875,4175.230404685251,22247.71087343525,167.47200053943286
510,17966.689453125,4267.116629069671,22233.80608219467,171.15763422384123
520,18097.0,4175.924525592476,22272.924525592476,167.49984231238474
530,18130.521484375,4152.005476523191,22282.52696089819,166.54042915182265
540,18010.1015625,4258.395282755606,22268.496845255606,170.80781369346408
550,18029.326171875,4256.049081967212,22285.375253842212,170.71370560801364
560,18063.75390625,4193.364627344767,22257.118533594767,168.19937945093162
570,18035.625,4220.864922219887,22256.489922219887,169.30243939056817
580,18025.970703125,4234.059140981757,22260.029844106757,169.83167059398286
590,17935.89453125,4293.611204480752,22229.505735730752,172.22035391053385
600,17951.56640625,4322.290766478516,22273.857172728516,173.37071524555634
610,18013.796875,4260.05934436433,22273.85621936433,170.87456060312473
620,18221.173828125,4096.888848095201,22318.0626762202,164.32965486366217
630,18039.306640625,4242.029383867979,22281.33602449298,170.151363734616
640,18072.46484375,4200.439266393019,22272.90411014302,168.48314916892747
650,17982.21484375,4270.826686759479,22253.04153050948,171.30644775583974
660,17863.373046875,4368.612039117143,22231.985085992143,175.22870042108534
670,17817.19921875,4416.3788259942085,22233.57804474421,177.14466638757818
680,18008.845703125,4261.753891721368,22270.599594846368,170.9425303217715
690,17981.2421875,4289.617683863966,22270.859871363966,172.0601704423022
700,18031.0859375,4244.647584795486,22275.733522295486,170.2563819742446
710,17935.62109375,4334.975008140318,22270.596101890318,173.87949083888498
720,18039.923828125,4249.464707409963,22289.388535534963,170.44960081078708
730,17950.23828125,4306.692328490317,22256.930609740317,172.74504878838488
740,17854.0859375,4384.152427611873,22238.238365111873,175.85203846428698
750,17891.88671875,4348.688793532056,22240.575512282056,174.4295622964854
760,17829.73828125,4407.398908250034,22237.137189500034,176.78447433982703
